Number,Measurements at 3+ time points?,Author,Study Title,Participants (training status),N,Age,Sex,Program Label,Program Details,Length (weeks),Intensity Closest to 1RM test,Volume Equated?,Issues,outcome_type,post,pre,sd
27,No,Baker,Periodization: The Effect on Strength of Manipulating Volume and Intensity,Trained (min 6 months),8,20.2+/-1.2,M,LP/BP,NA,12,3RM,NA,NA,lbm,70,68.09,7.19
27,No,Baker,Periodization: The Effect on Strength of Manipulating Volume and Intensity,Trained (min 6 months),5,21.4+/-5,M,BP/WUP?,NA,12,3RM,NA,NA,lbm,65.39,63.37,8.12
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",9,24.7+/-4.2,F,BP,"4 week block of 5x8-10 with 70-75%, deload week, 4 week block of 5x3-5 with 88-93%, deload week",10,0.93,"Yes, roughly","""Other"" is DL; WUP group lost slightly more fat as well, but I can't calculate BF% SDs for ESs",lbm,49.2,48.7,3.7
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",8,23.3+/-2.2,F,WUP/BP/LP,Two identical 4-week blocks going from 5x10 with 70% to 5x3 at 93% with a deload between blocks and after second block,10,0.93,NA,"""CSA"" is Arm Muscle Area; I put thigh CSA down as fiber CSA",lbm,47.4,46.8,5.7
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,25.2+/-4.35,F,LP/BP,"3 blocks of 30RM W1, 25RM W2, 20RM W3, and 15RM W4",12,15RM,Yes,"""other"" is biceps curl",lbm,47.64,45.49,5.18
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,27.4+/-2.8,F,DUP/WUP,Alternating weeks of 30RM and 25RM with weeks of 20RM and 15RM,12,15RM,NA,NA,lbm,47.83,46.21,4.87
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,20,>60,F,LP/BP,"4 weeks 12-14RM, 4 weeks 10-12RM, 4 weeks 8-10RM, 4 weeks 6-8RM",16,6-8RM,Yes,"""Other"" was biceps curls",lbm,34.35,34.9,4.53
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,19,>60,F,DUP,Cycling between those 4 RM ranges,16,6-8RM,NA,NA,lbm,36.62,36.02,3.44
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,70.4+/-6.1,M/F,NP,3x10RM,31,10RM,Yes,DUP group the strongest to start with,lbm,49.1,45.8,13.2
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.8+/-5.4,M/F,BP,"11 sessions of 3x15RM, 11 sessions of 3x10RM, 11 sessions of 3x5RM, then repeat",31,5RM,NA,NA,lbm,47.4,44.9,8.2
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.2+/-4.2,M/F,DUP,"Cycling through 3x15RM, 3x10RM, and 3x5RM",31,5RM,NA,NA,lbm,53.9,50.1,10
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",10,23.7+/-2.9,M,BP,"4 weeks of 65-75% focused on hypertrophy, 4 weeks of 85-95% focused on sterngth, and 4 weeks of 50-65% focused on power. Deload every 5th week",15,65 (95% 5 weeks out),I think,"""Other"" is squat isometric strength",lbm,73.78,71.98,7.6
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",8,26+/-5.7,M,WUP/LP/BP,"W1 sets of 8-10 with 65-75%, W2 sets of 5-6 with 75-85%, week 3 sets of 3-4 with 85-95%, week 4 power training with 50-60%",15,60% (95% 2? Weeks out),NA,"FM also provided, but not SD for BF% so can't calculate ES",lbm,70.61,69.4,8.8
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,NP,Sets of 5 at 80% (high force),9,80.0,No,"""Others"" are quarter squat and mid thigh pull, respectively",lbm,77.3214,76.1985,NA
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),16,NA,M,NP,Sets of 5 at 30-45% (high power),9,45.0,no,NA,lbm,74.6327,75.5898,NA
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,DUP,Alternating between the high force and high power approaches,9,80.0,no,NA,lbm,77.0803,76.2892,NA
53,NA,Harries,Comparison of resistance training progression models on maximal strength in sub-elite adolescent rugby union players,Subelite adolescent rugby players,8,16.8,M,LP,Increase from 75% to 90% over 6 weeks in small increments x2,12,90.0,essentially,NA,lbm,44,43.1,7
53,NA,Harries,Comparison of resistance training progression models on maximal strength in sub-elite adolescent rugby union players,Subelite adolescent rugby players,8,17.0,M,DUP,Increase from 75/86% to 83/90% x2,12,90.0,NA,NA,lbm,42.4,42,6.8
35,No,Simão,Comparison Between Nonlinear and Linear Periodized Resistance Training: Hypertrophy and Strength Effects,Untrained (Navy; had not lifted for at least 6 months before start of study),10,29.8+/-1/9,M,LP/BP,"4 weeks 2x12-15RM, 4 weeks 3x8-10RM, 4 weeks 4x3-5RM",12,3-5RM,Yes,"Study also looked at lat pulldowns, triceps extensions, and curls",mt,39.5,39.2,4.4
35,No,Simão,Comparison Between Nonlinear and Linear Periodized Resistance Training: Hypertrophy and Strength Effects,Untrained (Navy; had not lifted for at least 6 months before start of study),11,30.2+/-1.1,M,LP/DUP,"Abbreviated version of group 1 (2 weeks per phase instead of 4), then DUP with the same set/rep/intensity ranges for the last 6 weeks",12,3-5RM,NA,NA,mt,41.5,39.8,4.9
44,No,Pelzer,Periodization Effects during short-term resistance training with equated exercise variables in females,Moderately Trained (~2 year average,19,22+/-1.8,F,LP/BP,"2 weeks of 3x15 with 40%, 2 weeks of 3x10 with 60%, and 2 weeks of 3x6 at 80%",6,0.8,Yes,"Unilateral knee extension; within-subject design. Average increases were reported, but can't calculate ESs",mt,2.22,1.88,0.26
44,No,Pelzer,Periodization Effects during short-term resistance training with equated exercise variables in females,Moderately Trained (~2 year average,NA,NA,NA,DUP,Same intensities cycled each week,6,0.8,NA,NA,mt,2.22,1.9,0.27
47,No,Schoenfeld,Effects of Varied Versus Constant Loading Zones on Muscular Adaptations in Trained Men,Trained,9,23.9+/-3.2,M,NP,10RM all sessions,8,10RM,Roughly,NA,mt,48.4,46.1,4.9
47,No,Schoenfeld,Effects of Varied Versus Constant Loading Zones on Muscular Adaptations in Trained Men,Trained,10,23.3+/-2.9,M,DUP,"Cycling between 3RM, 10RM, and 25RM",8,3RM,NA,NA,mt,47,44.1,3
15,No,Souza,Early Adaptations to Six Weeks of Non-Periodized and Periodized Strength Training Regimes in Recreational Males,Recreationally active males; not engaged in lifting for the 6 months prior to the study,9,25+/-7.7,M,NP,8RM,6,8RM,Yes,NA,csa,7472.5,6007.3,1062.3
15,No,Souza,Early Adaptations to Six Weeks of Non-Periodized and Periodized Strength Training Regimes in Recreational Males,Recreationally active males; not engaged in lifting for the 6 months prior to the study,9,26.2+/-7.3,M,LP/BP,"12RM first 4 weeks, 8RM last 2 weeks",6,8RM,Yes,NA,csa,6996.3,5641,842.5
15,No,Souza,Early Adaptations to Six Weeks of Non-Periodized and Periodized Strength Training Regimes in Recreational Males,Recreationally active males; not engaged in lifting for the 6 months prior to the study,8,23.8+/-4.3,M,DUP,"12RM and 8RM first 4 weeks, 10RM and 6RM last 2 weeks",6,6RM,Yes,NA,csa,6886.4,5348,1721.6
19,Yes,Kok,Enhancing Muscular Qualities in Untrained Women: Linear versus Undulating Periodization,Untrained (recreationally active),10,19.6+/-1.6,F,LP/BP/WUP?,https://www.dropbox.com/s/rg4etbinsq492qc/Screenshot%202017-06-19%2006.03.29.jpg?dl=0,12,0.4,Roughly,"Limb girths also reported, favoring DUP",csa,6.02,5.54,0.65
19,Yes,Kok,Enhancing Muscular Qualities in Untrained Women: Linear versus Undulating Periodization,Untrained (recreationally active),10,19.9+/-2.3,F,DUP/LP,NA,12,0.9,Maybe slightly higher for Group 1,Massive deload at the end of LP is a confounder (muscle CSA higher after 9 weeks than 12),csa,5.75,5.01,1.01
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",9,24.7+/-4.2,F,BP,"4 week block of 5x8-10 with 70-75%, deload week, 4 week block of 5x3-5 with 88-93%, deload week",10,0.93,"Yes, roughly","""Other"" is DL; WUP group lost slightly more fat as well, but I can't calculate BF% SDs for ESs",csa,38.37,33.63,5.5
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",8,23.3+/-2.2,F,WUP/BP/LP,Two identical 4-week blocks going from 5x10 with 70% to 5x3 at 93% with a deload between blocks and after second block,10,0.93,NA,"""CSA"" is Arm Muscle Area; I put thigh CSA down as fiber CSA",csa,38.96,35.05,5.4
48,No,Fink,"Impact of high versus low fixed loads and non-linear training loads on muscle hypertrophy, strength, and force development",Gymnasts,7,23.4+/-3,M,NP,0.8,8,0.8,Sets,"""Other"" is biceps MVC",csa,10.6,9.7,1.6
48,No,Fink,"Impact of high versus low fixed loads and non-linear training loads on muscle hypertrophy, strength, and force development",Gymnasts,7,23.1+/-2.4,M,NP,0.3,8,0.3,NA,NA,csa,10.7,9.7,1.1
48,No,Fink,"Impact of high versus low fixed loads and non-linear training loads on muscle hypertrophy, strength, and force development",Gymnasts,7,23+/-3.1,M,WUP?,Going between 80% and 30% every 2 weeks,8,0.3,NA,NA,csa,11.2,10.3,1.8
2,Yes,Kramer,"Effects of Single vs. Multiple Sets of Weight Training: Impact of Volume, Intensity, and Variation",Moderately trained (at least 1x bodyweight squat with good form),14,20.3+/-1.9,M,NP,"3x10RM Monday, 3x10RM -10% Friday",15,10RM,Higher (volume load),Also single set non-periodized group (excluded from analysis),bf%,13.3,13.1,3.9
2,Yes,Kramer,"Effects of Single vs. Multiple Sets of Weight Training: Impact of Volume, Intensity, and Variation",Moderately trained (at least 1x bodyweight squat with good form),13,20.3+/-1.9,M,LP/BP,4-5 week blocks working from 10RM to 2-3RM loads,15,2RM,"Lower (volume load), and weeks 1, 7, and 11 were single set",Single set training to start every block with periodized group; relatively substantial pre-training strength differences (~13kg and 0.9xbw),bf%,15.8,15.6,4.9
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,NP,"2x12 70% (for all groups, percentage-based based on same 1rm for first 6 weeks, then adjusted based on new 1RM on week 6)",8,70.0,"Roughly (sets the same, similar average intensities)",Health effects interesting as well,bf%,23.3,25.5,2.1
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,LP,"2x18 1at 50% to 2x8 at 85%, increasing intensity and decreasing reps each week",8,85.0,NA,NA,bf%,23.4,25.1,2.1
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,DUP,"2x16 at 55%, 2x12 at 70%, and 2x8 at 85% each week",8,85.0,NA,NA,bf%,24.2,26.2,2.2
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,26.6+/-2.2,M,NP,3x8-10RM,12,8-10RM,Roughly,Additional training day added in block 3; not technically non-periodized,bf%,18.5,15.2,2.3
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,27.6+/-2.7,M,LP/BP,"3 weeks 3x12-15RM, 3 weeks 3x8-10RM, 3 weeks 3x4-5RM, 3 weeks 3x12, 8, 4RM",12,4RM,Roughly,Estimates from bar charts via webplotdigitizer,bf%,12.9,13.9,1.8
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,28.1+/-2.9,M,DUP,"Alternate 3x12-15RM and 3x8-10RM 3 weeks, then 4x4-5RM and 3x12-15RM, then 3x8-10RM and 4x4-5RM, then 3x12, 8, 4RM",12,4RM,Roughly,Additional training day added in block 3; not technically non-periodized,bf%,13.2,14.3,2.1
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",10,18.6+/-1.3,F,NP,8-10RM loads,32,8-10RM,Yes,"Shoulder press was the ""other""",bf%,21.6,23.7,4.9
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",9,19.2+/-1.1,F,DUP,"4-6RM Monday, 8-10RM Wednesday, 12-15RM Friday",32,4-6RM,Yes,"Big advantage of periodized initially, decreasing over time",bf%,19.1,22.9,3.9
22,Yes,Buford,A Comparison of Periodization Models During Nine Weeks With Equated Volume and Intensity for Strength,"Basically untrained (at least 4 weeks of experience; some with perior experience, but not in the prior 2 months)",9,22.7+/-3.6,M/F,LP/BP,"3x8 W1-3, 3x6W 4-6, 3x4 W7-9",9,0.9,yes,DUP group strongest to start with,bf%,23.65,24.9,9.27
22,Yes,Buford,A Comparison of Periodization Models During Nine Weeks With Equated Volume and Intensity for Strength,"Basically untrained (at least 4 weeks of experience; some with perior experience, but not in the prior 2 months)",9,23.9+/-5.1,M/F,WUP,"3x8 W 1, 4, 7, 3x6 W 2, 5, 8, 3x4 W 3, 6, 9",9,0.9,NA,Session RPEs also reported,bf%,20.74,21.57,11.24
22,Yes,Buford,A Comparison of Periodization Models During Nine Weeks With Equated Volume and Intensity for Strength,"Basically untrained (at least 4 weeks of experience; some with perior experience, but not in the prior 2 months)",10,20.1+/-1.5,M/F,DUP,"3x8, 3x6, 3x4 each week",9,0.9,NA,Chest and thigh circumferences reported; % strength increases larger for women,bf%,19.69,21.09,7.53
26,No,Schiotz,"The Short-Term Effects of Periodized and Constant-Intensity Training on Body Composition, Strength, and Performance",ROTC physical conditioning experience,8,21.2+/-1.8,M,NP,4x6 the whole time,10,6RM,"Yes, roughly",Also doing ROTC stuff,bf%,12.2,12.8,2.7
26,No,Schiotz,"The Short-Term Effects of Periodized and Constant-Intensity Training on Body Composition, Strength, and Performance",ROTC physical conditioning experience,6,24.1+/-1.3,M,LP,https://www.dropbox.com/s/aou2h53q1nz4wlt/Screenshot%202017-06-19%2007.22.53.jpg?dl=0,10,Triples and singles (105% of initial 1RM,NA,NA,bf%,11.1,12.6,2.1
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,25.2+/-4.35,F,LP/BP,"3 blocks of 30RM W1, 25RM W2, 20RM W3, and 15RM W4",12,15RM,Yes,"""other"" is biceps curl",bf%,24.87,28.53,4.32
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,27.4+/-2.8,F,DUP/WUP,Alternating weeks of 30RM and 25RM with weeks of 20RM and 15RM,12,15RM,NA,NA,bf%,22.4,24.84,3.46
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,20,>60,F,LP/BP,"4 weeks 12-14RM, 4 weeks 10-12RM, 4 weeks 8-10RM, 4 weeks 6-8RM",16,6-8RM,Yes,"""Other"" was biceps curls",bf%,40.01,40.62,6.39
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,19,>60,F,DUP,Cycling between those 4 RM ranges,16,6-8RM,NA,NA,bf%,42.11,42.65,6.83
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,70.4+/-6.1,M/F,NP,3x10RM,31,10RM,Yes,DUP group the strongest to start with,bf%,30.5,34.8,7.1
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.8+/-5.4,M/F,BP,"11 sessions of 3x15RM, 11 sessions of 3x10RM, 11 sessions of 3x5RM, then repeat",31,5RM,NA,NA,bf%,32.7,35.7,6.8
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.2+/-4.2,M/F,DUP,"Cycling through 3x15RM, 3x10RM, and 3x5RM",31,5RM,NA,NA,bf%,27.4,31.5,6
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",10,23.7+/-2.9,M,BP,"4 weeks of 65-75% focused on hypertrophy, 4 weeks of 85-95% focused on sterngth, and 4 weeks of 50-65% focused on power. Deload every 5th week",15,65 (95% 5 weeks out),I think,"""Other"" is squat isometric strength",bf%,0.08936065,0.096284208,NA
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",8,26+/-5.7,M,WUP/LP/BP,"W1 sets of 8-10 with 65-75%, W2 sets of 5-6 with 75-85%, week 3 sets of 3-4 with 85-95%, week 4 power training with 50-60%",15,60% (95% 2? Weeks out),NA,"FM also provided, but not SD for BF% so can't calculate ES",bf%,0.11081728,0.120167322,NA
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,NP,Sets of 5 at 80% (high force),9,80.0,No,"""Others"" are quarter squat and mid thigh pull, respectively",bf%,13.8,13.9,1.7
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),16,NA,M,NP,Sets of 5 at 30-45% (high power),9,45.0,no,NA,bf%,14.9,14.2,0.8
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,DUP,Alternating between the high force and high power approaches,9,80.0,no,NA,bf%,11.3,11.6,1.6
53,NA,Harries,Comparison of resistance training progression models on maximal strength in sub-elite adolescent rugby union players,Subelite adolescent rugby players,8,16.8,M,LP,Increase from 75% to 90% over 6 weeks in small increments x2,12,90.0,essentially,NA,bf%,15.3,15.5,6.3
53,NA,Harries,Comparison of resistance training progression models on maximal strength in sub-elite adolescent rugby union players,Subelite adolescent rugby players,8,17.0,M,DUP,Increase from 75/86% to 83/90% x2,12,90.0,NA,NA,bf%,12.2,12.2,3.4
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",9,24.7+/-4.2,F,BP,"4 week block of 5x8-10 with 70-75%, deload week, 4 week block of 5x3-5 with 88-93%, deload week",10,0.93,"Yes, roughly","""Other"" is DL; WUP group lost slightly more fat as well, but I can't calculate BF% SDs for ESs",fiber csa,131.6,129.9,NA
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",8,23.3+/-2.2,F,WUP/BP/LP,Two identical 4-week blocks going from 5x10 with 70% to 5x3 at 93% with a deload between blocks and after second block,10,0.93,NA,"""CSA"" is Arm Muscle Area; I put thigh CSA down as fiber CSA",fiber csa,127.6,120.6,NA
1,Yes,Willoughby,The Effects of Mesocycle-Length Weight Training Programs Involving Periodization and Partially Equated Volumes on Upper and Lower Body Strength,Trained (1.2xbw bench and 1.5x bodyweight back squat),23,20.3+/-1.87,M,NP,"5x10RM (78.9%); weights kept constant each 4 weeks, and recalculated after 1RM testing",16,0.789,Yes w/ group 2. Yes through week 8 w/ group 3,Squat pre-training mean (1.48) impossible based on inclusion criteria (1.5); relative strength not absolute; no tables so all numbers are estimates. Reported bench SDs (0.002 and 0.014) are impossible),squat,1.74,1.48,0.105
1,Yes,Willoughby,The Effects of Mesocycle-Length Weight Training Programs Involving Periodization and Partially Equated Volumes on Upper and Lower Body Strength,Trained (1.2xbw bench and 1.5x bodyweight back squat),23,20.3+/-1.87,M,NP,"6x8RM (83.3%); weights kept constant each 4 weeks, and recalculated after 1RM testing",16,0.833,yes w/ group 1. Yes through week 8 w/ group 3,Subjects detrained for 6+ months before starting the study; need to go back and do correctly in webplotdigitizer,squat,1.89,1.48,0.105
1,Yes,Willoughby,The Effects of Mesocycle-Length Weight Training Programs Involving Periodization and Partially Equated Volumes on Upper and Lower Body Strength,Trained (1.2xbw bench and 1.5x bodyweight back squat),23,20.3+/-1.87,M,LP/BP,"5x10RM for 4 weeks, 4x8RM for 4 weeks, 3x6RM for 4 weeks, 3x4RM for for 4 weeks",16,0.924,"Yes through week 8, then lower (volume load)","Supposed to mimic group 2 from weeks 5-8, but says they lifted 4x8RM vs. 6x8RM; however, reported training volume was the same. Typo?",squat,2.02,1.48,0.105
2,Yes,Kramer,"Effects of Single vs. Multiple Sets of Weight Training: Impact of Volume, Intensity, and Variation",Moderately trained (at least 1x bodyweight squat with good form),14,20.3+/-1.9,M,NP,"3x10RM Monday, 3x10RM -10% Friday",15,10RM,Higher (volume load),Also single set non-periodized group (excluded from analysis),squat,123.7,98.5,27.7
2,Yes,Kramer,"Effects of Single vs. Multiple Sets of Weight Training: Impact of Volume, Intensity, and Variation",Moderately trained (at least 1x bodyweight squat with good form),13,20.3+/-1.9,M,LP/BP,4-5 week blocks working from 10RM to 2-3RM loads,15,2RM,"Lower (volume load), and weeks 1, 7, and 11 were single set",Single set training to start every block with periodized group; relatively substantial pre-training strength differences (~13kg and 0.9xbw),squat,135.7,111.2,25.6
3,No,Stone,Comparison of the Effects of Three Different Weight-Training Programs on the One Reptition Maximum Squat,Trained (110kg squat and 1.3x bodyweight squat minimum),5,NA,M,NP,5x6RM for main lifts and 3x8RM for assistance lifts the whole time,12,6RM,"Highest volume load, but similar to group 2 in total reps","Low N for all 3 groups, and unbalanced",squat,155.4,141.4,28.1
3,No,Stone,Comparison of the Effects of Three Different Weight-Training Programs on the One Reptition Maximum Squat,Trained (110kg squat and 1.3x bodyweight squat minimum),9,NA,M,LP/BP,"4 weeks of 5x10/3x10, 4 weeks of 5x5/3x8, 3 weeks of 3x3 with a dropback x10/3x6, 1 week of 3x3/3x6",12,3rm,"similar to group 3 in volume load, but 100 more reps",Big differences in pre-training strength,squat,143.3,124.8,12
3,No,Stone,Comparison of the Effects of Three Different Weight-Training Programs on the One Reptition Maximum Squat,Trained (110kg squat and 1.3x bodyweight squat minimum),7,NA,M,LP/BP,"Supposedly overreaching on weeks 1 and 9 (though I don't really see it). Honestly pretty similar to group 2, but with more weeks with 3 work sets and one backoff set vs. 5 work sets",12,Cluster sets of 3 singles (maybe 2rm?),"Similar to group 2 in volume load, but 100 fewer reps",Unclear how this was supposed to cause overreach,squat,153.3,132.8,17
